GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LDH-6,es.ull.passengers,Passenger,18,59,2,8,3,20,3,10,1,7
LDH-6,es.ull.flights,Flight,0,67,0,4,0,18,0,8,0,6
